date,number of accidents,Temperature,windspeed
2015-03-29,622,273.5737786263333,2.9166666666666665
2015-03-30,648,276.4318074040834,3.0
2015-03-31,710,278.55914583333333,3.2083333333333335
2015-04-01,775,276.28004166666665,2.625
2015-04-02,774,278.69710416666663,2.7083333333333335
2015-04-03,663,287.5108125,4.25
2015-04-04,648,282.8135,4.583333333333333
2015-04-05,490,280.23175,3.6666666666666665
2015-04-06,744,282.13514583333335,1.75
2015-04-07,550,285.92002083333335,2.1666666666666665
2015-04-08,588,279.0449375,4.0
2015-04-09,566,277.9091875,3.2083333333333335
2015-04-10,652,281.00666666666666,1.875
2015-04-11,654,284.114875,3.7083333333333335
2015-04-12,547,281.5782708333333,1.9583333333333333
2015-04-13,708,283.2476041666667,2.25
2015-04-14,626,287.67379166666666,3.125
2015-04-15,725,284.760875,2.5
2015-04-16,725,284.467625,2.25
2015-04-17,803,286.65693749999997,2.875
2015-04-18,738,288.552125,2.0
2015-04-19,530,286.9401666666667,3.1666666666666665
2015-04-20,693,283.4365833333333,4.208333333333333
2015-04-21,726,286.25513901158337,2.7083333333333335
2015-04-22,645,283.49636514754167,2.75
2015-04-23,713,280.3200174065833,3.375
2015-04-24,758,278.02360748254165,3.4166666666666665
2015-04-25,697,279.4518898466667,2.2083333333333335
2015-04-26,500,282.70563386675,1.4166666666666667
2015-04-27,603,283.3932336675834,2.4166666666666665
2015-04-28,690,285.9750387376667,3.2083333333333335
2015-04-29,808,289.58968924666664,2.125
2015-04-30,766,287.6616827122917,2.2916666666666665
2015-05-01,833,285.3032962103333,1.25
2015-05-02,730,286.656503948375,0.7916666666666666
2015-05-03,623,289.5149429878333,0.875
2015-05-04,711,292.64334573958337,1.7083333333333333
2015-05-05,726,297.15481379275,2.0833333333333335
2015-05-06,718,291.62344466145834,1.0
2015-05-07,794,292.2338168725,0.7916666666666666
2015-05-08,943,294.2868449255,1.25
2015-05-09,701,292.2282163989167,1.5
2015-05-10,634,294.01982735666667,1.6666666666666667
2015-05-11,766,296.31412823704164,1.9583333333333333
2015-05-12,770,296.05027820070836,2.3333333333333335
2015-05-13,728,291.9082835795833,3.3333333333333335
2015-05-14,790,288.67693852708334,1.875
2015-05-15,892,288.90504333558334,1.3333333333333333
2015-05-16,731,292.6540637045,1.7916666666666667
2015-05-17,666,294.14706759308336,0.9166666666666666
2015-05-18,705,294.037801978375,1.6666666666666667
2015-05-19,738,289.89086218895835,1.2916666666666667
2015-05-20,764,289.84256450341667,2.5416666666666665
2015-05-21,754,285.53341243516667,1.5416666666666667
2015-05-22,892,287.14754788254163,2.0416666666666665
2015-05-23,676,285.67860336483335,2.2083333333333335
2015-05-24,573,288.59845829195837,2.125
2015-05-25,589,292.37836460841663,2.4166666666666665
2015-05-26,870,296.3771968024167,3.375
2015-05-27,887,296.2233333333333,3.7083333333333335
2015-05-28,788,295.15495833333335,2.25
2015-05-29,950,293.56266666666664,1.25
2015-05-30,787,294.0129505836667,2.625
2015-05-31,660,295.5947628717083,3.625
2015-06-01,862,287.3779166666667,4.916666666666667
2015-06-02,826,284.2870833333333,3.2916666666666665
2015-06-03,861,287.0883333333333,2.25
2015-06-04,796,287.59141666666665,2.125
2015-06-05,892,288.9269583333333,1.5833333333333333
2015-06-06,807,291.15654166666667,2.125
2015-06-07,688,290.7302916666667,2.375
2015-06-08,775,292.35037500000004,4.083333333333333
2015-06-09,827,295.39875,3.9583333333333335
2015-06-10,917,295.1433333333334,3.0
2015-06-11,818,297.977,2.6666666666666665
2015-06-12,927,297.25870833333335,1.7083333333333333
2015-06-13,774,298.9639583333333,2.3333333333333335
2015-06-14,697,296.4525833333333,1.2083333333333333
2015-06-15,812,295.55025,3.0
2015-06-16,820,293.7866666666667,2.4166666666666665
2015-06-17,859,295.3320833333333,3.625
2015-06-18,762,292.70683333333335,2.375
2015-06-19,899,294.2943333333333,1.9166666666666667
2015-06-20,771,292.87283333333335,2.5
2015-06-21,691,295.230125,2.75
2015-06-22,906,296.486625,2.5416666666666665
2015-06-23,855,298.78479166666665,3.3333333333333335
2015-06-24,884,295.84970833333335,2.7083333333333335
2015-06-25,856,295.8632916666666,2.5
2015-06-26,981,295.6566666666667,2.4166666666666665
2015-06-27,805,292.65458333333333,3.2083333333333335
2015-06-28,635,290.575,3.8333333333333335
2015-06-29,750,293.56083333333333,3.0416666666666665
2015-06-30,750,295.0004166666667,2.7916666666666665
2015-07-01,816,296.7341666666667,3.875
2015-07-02,823,295.5783333333333,1.7916666666666667
2015-07-03,805,294.79291666666666,1.4583333333333333
2015-07-04,577,294.27791666666667,2.5416666666666665
2015-07-05,642,295.1933333333333,1.8333333333333333
2015-07-06,773,296.46583333333336,2.4166666666666665
2015-07-07,832,298.69916666666666,3.1666666666666665
2015-07-08,763,298.7295833333333,2.9166666666666665
2015-07-09,785,295.77833333333336,1.3333333333333333
2015-07-10,938,296.7554166666667,3.3333333333333335
2015-07-11,762,296.96583333333336,1.4583333333333333
2015-07-12,657,297.5925,2.1666666666666665
2015-07-13,832,297.9975,2.625
2015-07-14,841,296.45374999999996,2.8333333333333335
2015-07-15,764,297.3041666666666,2.1666666666666665
2015-07-16,819,294.4954166666667,2.9583333333333335
2015-07-17,883,294.3283333333333,3.0416666666666665
2015-07-18,696,297.2654166666667,3.0
2015-07-19,659,300.78541666666666,2.2083333333333335
2015-07-20,814,302.52708333333334,2.625
2015-07-21,788,300.0475,1.8333333333333333
2015-07-22,802,296.40416666666664,4.125
2015-07-23,836,295.70875,2.5
2015-07-24,927,296.15666666666664,2.2916666666666665
2015-07-25,716,296.55291666666665,1.7916666666666667
2015-07-26,624,298.1775,3.5416666666666665
2015-07-27,798,298.3754166666667,2.4166666666666665
2015-07-28,795,299.57458333333335,1.4583333333333333
2015-07-29,794,301.00333333333333,1.7916666666666667
2015-07-30,802,299.7158333333333,3.4166666666666665
2015-07-31,998,298.8654166666667,2.5833333333333335
2015-08-01,747,298.8308333333334,2.6666666666666665
2015-08-02,700,298.065,2.3333333333333335
2015-08-03,834,298.83708333333334,3.4166666666666665
2015-08-04,757,299.34499999999997,4.291666666666667
2015-08-05,782,297.5216666666667,2.75
2015-08-06,777,295.6070833333333,2.375
2015-08-07,881,296.15458333333333,3.0833333333333335
2015-08-08,633,295.40833333333336,2.625
